Time,Temp,Weather,Wind,Direction,Humidity,Barometer,Visibility
04,25,Passing clouds.,,Wind blowing from 0° North to South,90,1010,5
07,26,Partly sunny.,,Wind blowing from 0° North to South,91,1011,5
10,31,Partly sunny.,9,Wind blowing from 60° East-northeast to West-southwest,67,1011,7
13,31,Overcast.,,Wind blowing from 0° North to South,72,1009,6
16,30,Overcast.,11,Wind blowing from 280° West to East,73,1008,6
19,29,Passing clouds.,6,Wind blowing from 260° West to East,80,1010,6
22,28,Passing clouds.,,Wind blowing from 0° North to South,82,1011,6
01,28,Passing clouds.,,Wind blowing from 0° North to South,85,1010,6
04,27,Passing clouds.,,Wind blowing from 0° North to South,88,1009,6
07,28,Partly sunny.,,Wind blowing from 0° North to South,81,1011,6
10,32,Partly sunny.,,Wind blowing from 0° North to South,62,1012,7
13,33,Partly sunny.,,Wind blowing from 0° North to South,65,1009,7
16,31,Partly sunny.,,Wind blowing from 0° North to South,70,1008,7
19,30,Passing clouds.,,Wind blowing from 0° North to South,76,1009,6
22,29,Passing clouds.,,Wind blowing from 0° North to South,76,1012,6
01,28,Passing clouds.,,Wind blowing from 0° North to South,86,1011,6
04,27,Passing clouds.,,Wind blowing from 0° North to South,89,1010,5
07,28,Partly sunny.,,Wind blowing from 0° North to South,81,1012,7
10,32,Partly sunny.,,Wind blowing from 0° North to South,61,1012,7
13,33,Partly sunny.,6,Wind blowing from 320° Northwest to Southeast,60,1010,7
16,31,Partly sunny.,26,Wind blowing from 340° North-northwest to South-southeast,68,1008,7
19,30,Passing clouds.,,Wind blowing from 0° North to South,70,1010,6
22,30,Passing clouds.,9,Wind blowing from 300° West-northwest to East-southeast,74,1011,6
01,29,Overcast.,,Wind blowing from 0° North to South,76,1010,6
04,28,Passing clouds.,,Wind blowing from 0° North to South,83,1010,6
07,29,Partly sunny.,,Wind blowing from 0° North to South,79,1011,6
10,32,Partly sunny.,,Wind blowing from 0° North to South,65,1012,7
13,33,Partly sunny.,9,Wind blowing from 320° Northwest to Southeast,63,1009,7
16,31,Partly sunny.,9,Wind blowing from 320° Northwest to Southeast,66,1007,7
19,31,Passing clouds.,9,Wind blowing from 0° North to South,73,1009,6
22,30,Passing clouds.,,Wind blowing from 0° North to South,76,1010,6
01,29,Passing clouds.,,Wind blowing from 0° North to South,74,1010,6
04,28,Passing clouds.,,Wind blowing from 0° North to South,82,1010,6
07,28,Partly sunny.,,Wind blowing from 0° North to South,81,1012,6
10,33,Partly sunny.,,Wind blowing from 0° North to South,65,1012,7
01,28,Passing clouds.,,Wind blowing from 0° North to South,76,1011,6
04,27,Passing clouds.,,Wind blowing from 0° North to South,82,1010,6
07,28,Partly sunny.,6,Wind blowing from 260° West to East,80,1012,6
10,32,Partly sunny.,,Wind blowing from 0° North to South,66,1013,7
13,33,Partly sunny.,7,Wind blowing from 200° South-southwest to North-northeast,62,1010,7
16,31,Partly sunny.,6,Wind blowing from 180° South to North,78,1008,7
19,30,Passing clouds.,11,Wind blowing from 320° Northwest to Southeast,77,1010,6
22,27,Thundershowers. Overcast.,7,Wind blowing from 140° Southeast to Northwest,88,1013,5
01,26,Overcast.,,Wind blowing from 0° North to South,91,1012,5
04,26,Passing clouds.,,Wind blowing from 0° North to South,91,1011,5
07,27,Overcast.,,Wind blowing from 0° North to South,87,1012,6
10,31,Partly sunny.,,Wind blowing from 0° North to South,71,1013,7
13,33,Partly sunny.,13,Wind blowing from 340° North-northwest to South-southeast,65,1010,7
16,31,Partly sunny.,7,Wind blowing from 320° Northwest to Southeast,71,1008,6
19,29,Passing clouds.,,Wind blowing from 0° North to South,78,1011,6
22,28,Passing clouds.,6,Wind blowing from 130° Southeast to Northwest,78,1012,5
01,28,Passing clouds.,,Wind blowing from 0° North to South,81,1011,5
04,27,Passing clouds.,,Wind blowing from 0° North to South,84,1010,5
07,28,Partly sunny.,,Wind blowing from 0° North to South,80,1012,6
10,33,Partly sunny.,6,Wind blowing from 180° South to North,59,1013,7
13,34,Partly sunny.,13,Wind blowing from 310° Northwest to Southeast,61,1010,7
16,32,Partly sunny.,,Wind blowing from 0° North to South,67,1008,7
19,29,Passing clouds.,,Wind blowing from 0° North to South,70,1011,6
22,29,Passing clouds.,,Wind blowing from 0° North to South,73,1012,6
01,29,Passing clouds.,,Wind blowing from 0° North to South,77,1011,6
04,28,Passing clouds.,,Wind blowing from 0° North to South,78,1010,6
07,29,Partly sunny.,,Wind blowing from 0° North to South,74,1011,6
10,33,Partly sunny.,7,Wind blowing from 120° East-southeast to West-northwest,57,1013,7
13,36,Partly sunny.,7,Wind blowing from 110° East-southeast to West-northwest,48,1010,7
16,34,Partly sunny.,6,Wind blowing from 80° East to West,59,1008,7
19,31,Passing clouds.,,Wind blowing from 0° North to South,66,1011,6
22,29,Passing clouds.,7,Wind blowing from 90° East to West,74,1012,6
01,29,Light rain. Passing clouds.,6,Wind blowing from 140° Southeast to Northwest,78,1011,6
04,29,Passing clouds.,,Wind blowing from 0° North to South,81,1010,6
07,29,Partly sunny.,6,Wind blowing from 110° East-southeast to West-northwest,81,1012,6
10,34,Partly sunny.,,Wind blowing from 0° North to South,60,1012,7
13,34,Partly sunny.,9,Wind blowing from 30° North-northeast to South-southwest,59,1010,7
16,32,Partly sunny.,19,Wind blowing from 320° Northwest to Southeast,70,1008,7
19,30,Passing clouds.,9,Wind blowing from 250° West-southwest to East-northeast,76,1011,6
22,27,Rain. Overcast.,,Wind blowing from 0° North to South,89,1013,5
01,27,Overcast.,,Wind blowing from 0° North to South,91,1012,5
04,26,Passing clouds.,,Wind blowing from 0° North to South,94,1011,5
07,27,Partly sunny.,,Wind blowing from 0° North to South,91,1013,5
10,31,Partly sunny.,,Wind blowing from 0° North to South,67,1013,7
13,33,Partly sunny.,13,Wind blowing from 320° Northwest to Southeast,61,1010,7
16,31,Partly sunny.,9,Wind blowing from 330° North-northwest to South-southeast,71,1009,7
19,29,Overcast.,,Wind blowing from 0° North to South,75,1011,6
22,29,Passing clouds.,,Wind blowing from 0° North to South,80,1012,6
01,28,Passing clouds.,,Wind blowing from 0° North to South,81,1011,6
04,28,Passing clouds.,,Wind blowing from 0° North to South,81,1011,6
07,28,Scattered clouds.,7,Wind blowing from 90° East to West,76,1012,6
10,33,Partly sunny.,,Wind blowing from 0° North to South,57,1012,7
13,34,Partly sunny.,13,Wind blowing from 330° North-northwest to South-southeast,62,1010,7
16,32,Partly sunny.,19,Wind blowing from 340° North-northwest to South-southeast,64,1009,7
19,31,Light rain. Passing clouds.,17,Wind blowing from 170° South to North,73,1012,6
22,27,Overcast.,,Wind blowing from 0° North to South,91,1013,6
01,27,Passing clouds.,,Wind blowing from 0° North to South,88,1011,6
04,27,Passing clouds.,,Wind blowing from 0° North to South,86,1010,6
07,28,Partly sunny.,,Wind blowing from 0° North to South,81,1012,6
10,32,Partly sunny.,7,Wind blowing from 100° East to West,61,1012,7
13,33,Partly sunny.,15,Wind blowing from 20° North-northeast to South-southwest,60,1010,7
16,31,Partly sunny.,9,Wind blowing from 330° North-northwest to South-southeast,78,1009,7
19,30,Overcast.,13,Wind blowing from 300° West-northwest to East-southeast,76,1010,6
22,27,Overcast.,7,Wind blowing from 300° West-northwest to East-southeast,87,1012,6
01,28,Passing clouds.,,Wind blowing from 0° North to South,81,1011,6
04,28,Passing clouds.,,Wind blowing from 0° North to South,84,1010,6
07,28,Overcast.,,Wind blowing from 0° North to South,80,1012,6
13,33,Partly sunny.,6,Wind blowing from 50° Northeast to Southwest,61,1009,6
16,32,Partly sunny.,6,Wind blowing from 300° West-northwest to East-southeast,71,1007,6
19,27,Overcast.,,Wind blowing from 0° North to South,76,1010,5
22,27,Passing clouds.,,Wind blowing from 0° North to South,78,1011,5
01,28,Passing clouds.,,Wind blowing from 0° North to South,80,1011,5
04,27,Passing clouds.,,Wind blowing from 0° North to South,81,1010,5
07,28,Partly sunny.,,Wind blowing from 0° North to South,75,1012,7
10,33,Partly sunny.,,Wind blowing from 0° North to South,65,1012,7
13,33,Partly sunny.,13,Wind blowing from 340° North-northwest to South-southeast,64,1009,7
16,31,Partly sunny.,7,Wind blowing from 330° North-northwest to South-southeast,74,1007,7
19,31,Passing clouds.,6,Wind blowing from 280° West to East,77,1009,6
22,27,Light rain. Overcast.,,Wind blowing from 0° North to South,98,1010,5
01,26,Overcast.,,Wind blowing from 0° North to South,96,1009,6
04,26,Overcast.,,Wind blowing from 0° North to South,94,1008,6
07,27,Partly sunny.,,Wind blowing from 0° North to South,81,1011,6
10,33,Partly sunny.,15,Wind blowing from 100° East to West,58,1011,7
13,32,Partly sunny.,11,Wind blowing from 320° Northwest to Southeast,65,1009,7
16,32,Partly sunny.,9,Wind blowing from 320° Northwest to Southeast,60,1008,7
19,31,Passing clouds.,4,Wind blowing from 260° West to East,67,1010,6
22,30,Passing clouds.,4,Wind blowing from 300° West-northwest to East-southeast,74,1011,6
01,29,Passing clouds.,,Wind blowing from 0° North to South,79,1010,6
04,28,Passing clouds.,,Wind blowing from 0° North to South,80,1009,6
07,28,Partly sunny.,6,Wind blowing from 110° East-southeast to West-northwest,82,1010,6
10,33,Partly sunny.,,Wind blowing from 0° North to South,61,1010,7
13,33,Partly sunny.,19,Wind blowing from 330° North-northwest to South-southeast,62,1008,7
16,33,Partly sunny.,19,Wind blowing from 330° North-northwest to South-southeast,63,1006,7
19,31,Passing clouds.,,Wind blowing from 0° North to South,71,1009,6
22,29,Passing clouds.,,Wind blowing from 0° North to South,79,1011,6
01,28,Passing clouds.,,Wind blowing from 0° North to South,77,1009,6
04,26,Overcast.,,Wind blowing from 0° North to South,94,1009,5
07,28,Partly sunny.,,Wind blowing from 0° North to South,82,1009,7
10,32,Partly sunny.,6,Wind blowing from 260° West to East,65,1010,7
13,33,Partly sunny.,19,Wind blowing from 320° Northwest to Southeast,58,1008,7
16,32,Partly sunny.,22,Wind blowing from 320° Northwest to Southeast,68,1006,7
19,31,Passing clouds.,,Wind blowing from 0° North to South,72,1009,5
22,29,Overcast.,,Wind blowing from 0° North to South,84,1010,5
01,28,Passing clouds.,,Wind blowing from 0° North to South,82,1008,6
04,27,Passing clouds.,,Wind blowing from 0° North to South,84,1007,6
07,28,Overcast.,,Wind blowing from 0° North to South,80,1010,6
10,30,Overcast.,,Wind blowing from 0° North to South,72,1010,6
13,31,Overcast.,19,Wind blowing from 320° Northwest to Southeast,72,1008,6
16,30,Overcast.,9,Wind blowing from 320° Northwest to Southeast,79,1006,6
19,29,Overcast.,,Wind blowing from 0° North to South,75,1007,6
22,28,Overcast.,,Wind blowing from 0° North to South,81,1008,6
01,28,Overcast.,,Wind blowing from 0° North to South,84,1008,6
04,28,Overcast.,,Wind blowing from 0° North to South,84,1007,6
07,28,Overcast.,,Wind blowing from 0° North to South,84,1009,6
10,31,Overcast.,,Wind blowing from 0° North to South,70,1010,7
13,31,Overcast.,19,Wind blowing from 330° North-northwest to South-southeast,69,1008,7
16,30,Overcast.,13,Wind blowing from 320° Northwest to Southeast,74,1006,7
19,27,Thundershowers. Overcast.,7,Wind blowing from 330° North-northwest to South-southeast,88,1008,5
22,27,Overcast.,,Wind blowing from 0° North to South,93,1010,6
01,27,Overcast.,,Wind blowing from 0° North to South,91,1008,6
04,27,Overcast.,,Wind blowing from 0° North to South,91,1006,6
07,27,Partly sunny.,,Wind blowing from 0° North to South,89,1009,6
10,28,Overcast.,,Wind blowing from 0° North to South,84,1011,6
13,25,Overcast.,6,Wind blowing from 80° East to West,92,1010,6
16,28,Overcast.,,Wind blowing from 0° North to South,87,1009,6
19,26,Overcast.,7,Wind blowing from 150° South-southeast to North-northwest,91,1011,6
22,25,Passing clouds.,,Wind blowing from 0° North to South,94,1010,6
01,25,Passing clouds.,,Wind blowing from 0° North to South,92,1009,6
04,25,Passing clouds.,,Wind blowing from 0° North to South,90,1008,5
07,26,Overcast.,,Wind blowing from 0° North to South,89,1011,6
10,30,Partly sunny.,7,Wind blowing from 100° East to West,70,1010,6
13,32,Partly sunny.,13,Wind blowing from 300° West-northwest to East-southeast,61,1008,6
16,31,Partly sunny.,11,Wind blowing from 270° West to East,69,1007,6
19,30,Passing clouds.,,Wind blowing from 0° North to South,76,1009,6
22,29,Passing clouds.,,Wind blowing from 0° North to South,80,1011,5
01,28,Passing clouds.,6,Wind blowing from 130° Southeast to Northwest,81,1009,5
04,27,Passing clouds.,,Wind blowing from 0° North to South,84,1008,5
07,27,Partly sunny.,,Wind blowing from 0° North to South,81,1010,5
10,30,Partly sunny.,,Wind blowing from 0° North to South,70,1011,6
13,30,Overcast.,,Wind blowing from 0° North to South,70,1009,6
16,28,Overcast.,11,Wind blowing from 340° North-northwest to South-southeast,80,1007,6
19,28,Overcast.,9,Wind blowing from 310° Northwest to Southeast,78,1009,6
22,28,Overcast.,7,Wind blowing from 280° West to East,81,1011,6
01,27,Passing clouds.,9,Wind blowing from 270° West to East,78,1010,6
04,27,Passing clouds.,,Wind blowing from 0° North to South,84,1009,6
07,28,Overcast.,,Wind blowing from 0° North to South,78,1010,6
10,31,Overcast.,,Wind blowing from 0° North to South,65,1010,7
13,32,Partly sunny.,6,Wind blowing from 290° West-northwest to East-southeast,62,1008,7
16,32,Partly sunny.,,Wind blowing from 0° North to South,70,1006,7
19,30,Passing clouds.,,Wind blowing from 0° North to South,74,1008,6
22,29,Passing clouds.,,Wind blowing from 0° North to South,76,1009,6
10,32,Partly sunny.,,Wind blowing from 0° North to South,59,1009,7
13,33,Partly sunny.,7,Wind blowing from 20° North-northeast to South-southwest,62,1007,7
16,33,Partly sunny.,,Wind blowing from 0° North to South,65,1006,7
19,30,Passing clouds.,,Wind blowing from 0° North to South,77,1008,6
22,28,Thundershowers. Overcast.,7,Wind blowing from 220° Southwest to Northeast,85,1010,5
01,27,Passing clouds.,,Wind blowing from 0° North to South,91,1010,6
07,26,Light rain. Overcast.,,Wind blowing from 0° North to South,94,1010,6
10,28,Overcast.,,Wind blowing from 0° North to South,84,1011,6
16,31,Partly sunny.,17,Wind blowing from 330° North-northwest to South-southeast,69,1006,7
19,29,Passing clouds.,11,Wind blowing from 130° Southeast to Northwest,75,1010,6
22,27,Overcast.,7,Wind blowing from 160° South-southeast to North-northwest,77,1011,6
